"gene_symbol","t"
"TAF5",-0.777840021432817
"NAA60",-0.777840102354382
"NHERF2",-0.778112826259345
"WFDC1",-0.778430475697068
"EML6",-0.778527517796945
"HPS5",-0.778612302817393
"LOC105378941",-0.779470652177526
"MED7",-0.779888959847248
"LOC101927178",-0.780299836452027
"UBN2",-0.780326851798802
"MIR12119",-0.780689012966381
"FAM78A",-0.781507784442185
"LOC107986599",-0.781911606534061
"TESMIN",-0.781922742650429
"LY96",-0.782054247274988
"HMGN3-AS1",-0.782323329703975
"SMDT1",-0.782479179765502
"NBPF20",-0.783223261693113
"PES1",-0.783712063770876
"PAN3",-0.784262571257182
"UTP14A",-0.784847124159218
"ANKRD36C",-0.785070527083739
"APOLD1",-0.785856467499387
"PKM",-0.786167779767828
"KLHL18",-0.78912916063248
"PDIA3",-0.789210911553349
"SDHB",-0.791060888392095
"RPS19BP1",-0.791102580637047
"SNORD99",-0.791368685967886
"LOC107986162",-0.793113722866924
"MED14",-0.793352237130092
"SLC4A2",-0.793626116639108
"TENT4A",-0.795003578900928
"RGS7BP",-0.795475943312347
"LOC105375737",-0.795676235644856
"NDST1",-0.796456221278723
"AMOTL2",-0.796511950151299
"ITPRIP",-0.796999836213836
"ATXN3",-0.798061775912076
"TIGIT",-0.798701463757511
"RFC5",-0.798715686623559
"MTHFD2P1",-0.799307509804658
"GPALPP1",-0.800202243632214
"R3HCC1L",-0.800512128209001
"ACTG1P4",-0.802369773250324
"LOC105373975",-0.803531782305149
"CUEDC1",-0.804676164386803
"TRIM68",-0.805037241981126
"GTPBP6",-0.805221603788916
"MT3",-0.805646217443926
"MYL6",-0.805774800527673
"SGMS1-AS1",-0.806693000288839
"KCNJ2",-0.806716657457548
"H2BC8",-0.80741768388671
"RIOX2",-0.807681750952282
"ST20-AS1",-0.808730502757489
"TDP1",-0.809468056114774
"ZNF300",-0.809716692540901
"MRPL18",-0.809966310874167
"RAB11FIP5",-0.810138889934149
"TMLHE",-0.810553529820917
"SEC22B2P",-0.811505857155707
"LRCH2",-0.813647482785091
"PREP",-0.814370968272832
"COG6",-0.815752292953443
"ASB13",-0.819414972045424
"KLHL11",-0.819559472496625
"CTNNB1",-0.820528430630601
"COMMD9",-0.820620121010382
"GPT2",-0.820730121693653
"CCDC142",-0.821329907815063
"LSP1P5",-0.821562239108879
"LOC105379154",-0.821702037535037
"IRAG1",-0.824215250027428
"AHDC1",-0.824475804707
"C21orf140",-0.824785348839049
"LACC1",-0.825026939564892
"UBE2W",-0.826446795365145
"ASNS",-0.826835588819765
"CAPG",-0.827090884861077
"ZNF608",-0.82721911447173
"DISP1",-0.830453762538311
"BUD23",-0.831560413642544
"LOC101928359",-0.83205333161317
"LOC101927404",-0.832594187441028
"FAM89B",-0.833547154076273
"TDRD7",-0.833747534122456
"SLC25A17",-0.835119712810804
"MIR611",-0.835525932872833
"LINC01880",-0.837672108424539
"MIR4712",-0.838362484270277
"BCAS2",-0.838494927736424
"TNKS1BP1",-0.838739642723182
"SNORA24",-0.838775129822777
"KCTD14",-0.839349633293146
"ENTPD3-AS1",-0.840169821674729
"FMNL1-AS1",-0.840461292485266
"DLG5",-0.840882046327643
"CRYZ",-0.841770115522415
"BORCS7",-0.843289219271113
"MIR6789",-0.843446316127724
"MFSD13A",-0.843723802164839
"SH2D3A",-0.844230554614108
"PXDN",-0.844800907914377
"FRG1CP",-0.844938888840499
"LOC102724474",-0.8455148139859
"FHL3",-0.845815581184917
"FAM239B",-0.846474076416719
"ZSWIM1",-0.84654735640946
"PKD1L3",-0.84763874408558
"GTF3C2-AS2",-0.849045963386865
"IGSF5",-0.849320198673673
"GOLGA8O",-0.849389924621963
"LOC102723451",-0.850008506955288
"TMEM97",-0.850652892592823
"RBP4",-0.851632442733662
"GATAD1",-0.852255491905618
"PERP",-0.85228835915326
"LOC728024",-0.852405291441678
"GCSHP3",-0.85291786549863
"SLC25A42",-0.853282327249274
"SUMO2",-0.854620716773899
"ZEB1",-0.855256529169109
"SPDYE18",-0.855295534768398
"GCC1",-0.855520186915221
"PIAS3",-0.857078907771852
"PRPSAP2",-0.857468243588647
"LOC105371532",-0.857622760432308
"ZNF518A",-0.857869202346926
"DHX57",-0.858031281906808
"TULP4",-0.858693288235356
"HSD17B13",-0.85950408888191
"FSD2",-0.859945034181212
"DTL",-0.861247187026692
"LOC105377347",-0.861444970826396
"DGCR11",-0.86186303251497
"HNRNPUL2",-0.862079524439115
"ZNF230-DT",-0.863590344447313
"MIR224",-0.863998163676754
"TRNP1",-0.864290962974168
"LOC102724475",-0.86647464487875
"ZFP36L1",-0.866581583259213
"SLC35E3",-0.866877593423401
"ARAF",-0.866957247493522
"SLAIN1",-0.867814016881108
"LOC105379272",-0.867896738622439
"TPM2",-0.869193104828625
"BTBD10",-0.870348907801323
"C1QA",-0.8719711025218
"ZNF37BP",-0.872056469021004
"RMDN3",-0.872299392367394
"SMIM17",-0.872957810540315
"LOC112268112",-0.873076934018189
"NACAD",-0.873371117385039
"ANGEL1",-0.873698727873132
"C12orf43",-0.874663954764895
"TPCN2",-0.876942860806707
"MRPL51",-0.877261493190584
"STIMATE",-0.877941020667178
